x,y,z
12.97306,-384.51265,8
413.97717,352.89183,8
81.3485,-96.61732,8
187.80941,414.58426,8
138.79038,-102.37326,8
167.00277,-371.86069,8
317.22451,-198.03207,8
437.90258,-428.80337,8
94.62412,-154.06159,8
58.85435,443.36917,8
564.27003,328.37654,8
63.25899,-481.6067,296.41901
1.68672,75.26902,8
89.45071,-141.63161,8
303.92169,-214.20461,8
256.2716,239.70365,8
94.08521,468.18003,8
581.60352,320.35481,8
141.89436,-28.702,8
72.63467,-0.87221,8
532.41381,328.70295,8
123.69835,384.15777,8
72.66323,127.76163,8
302.62137,103.77317,8
508.45674,-518.62199,296.41901
163.53542,-93.98311,8
51.64735,272.4797,8
248.80247,443.02069,8
409.22928,60.89888,8
347.95814,54.44755,8
127.00454,-422.43393,8
0,-186.44867,8
370.1219,-220.84211,8
396.37516,-311.65056,8
326.25984,-136.5835,8
71.32612,-501.6354,296.41901
574.40557,86.02412,108
114.29016,335.17088,8
561.11352,494.45504,296.41901
89.04627,-206.95922,8
170.3274,351.39386,8
489.11921,-79.52172,8
170.3274,-351.39386,8
310.48402,0.53864,8
325.77748,63.16401,108
455.8121,474.93617,296.41901
80.46235,214.33147,8
347.71387,-485.17331,8
18.64302,-132.12673,8
143.37148,-390.10614,8
256.96292,472.9951,8
493.86791,-298.14307,8
581.60352,-320.35481,8
572.29079,-40.83112,8
22.99054,-63.21303,8
300.69037,-39.88985,8
71.30504,250.34429,8
246.49914,-96.27071,8
228.96111,350.89622,8
91.38483,-519.82199,296.41901
413.97717,-352.89183,8
347.71387,485.17331,8
205.31177,-179.20799,8
543.2386,-261.81901,8
514.08598,-333.62741,8
76.98139,277.31585,8
77.70407,130.77726,8
455.56741,98.01668,8
73.36516,-539.19723,471.66666
143.68903,-318.24875,8
433.56004,-487.25875,296.41901
182.98851,-72.17575,8
554.60805,265.97071,108
159.2846,-205.45846,8
51.04825,-12.99443,8
579.64165,-180.88466,8
126.00383,-437.45178,8
313.34448,-127.36209,8
118.77604,295.21676,8
297.22284,-104.82354,8
84.23782,-205.82807,8
410.08622,197.84727,8
134.0349,21.33219,8
328.73981,56.07064,8
183.33466,536.01289,471.66666
158.01982,-491.66395,296.41901
90.61242,377.48591,8
488.81615,-40.62457,8
537.03505,-502.1475,296.41901
420.71587,-248.86044,8
243.14838,33.03257,8
582.47951,-148.28093,8
151.33125,535.61182,471.66666
559.75939,-182.94914,8
302.62137,-103.77317,8
310.48402,-0.53864,8
27.74064,-407.06175,8
513.8563,526.69755,296.41901
267.88446,500.97966,296.41901
412.93679,0.75677,8
351.75147,-299.10498,8
234.96771,-525.455,296.41901
71.32612,501.6354,296.41901
198.54835,383.0052,8
138.26305,-163.29063,8
215.20702,338.90355,8
458.7581,479.8102,296.41901
469.35031,-155.94691,8
126.00761,-417.96406,8
537.76128,289.10382,8
500.53686,-148.29783,8
543.2386,261.81901,8
546.30116,360.92784,8
528.0617,5.68214,8
24.37761,-63.0125,8
21.81394,-143.93734,8
376.27214,-87.4075,8
415.70413,290.06185,8
234.34971,-100.02476,8
293.66488,487.50218,296.41901
361.53916,-429.76995,8
19.7006,-480.31261,8
121.88657,249.82636,8
199.51099,-224.92223,8
160.75641,-97.37854,8
52.08517,-160.36846,8
294.70002,-177.13621,8
183.06422,25.70337,8
488.40782,277.2348,8
393.74068,9.85848,8
428.59842,117.22522,8
278.21823,167.26696,8
254.46419,-132.35508,8
293.23813,397.376,8
152.41649,330.29297,8
374.50187,30.45429,8
121.88657,-249.82636,8
309.90094,-47.77377,8
52.09798,300.18093,8
561.11352,-494.45504,296.41901
519.2355,503.41714,296.41901
220.79948,-283.43164,8
361.53916,429.76995,8
559.15055,432.17149,8
446.59175,213.79875,8
3.13672,-187.87829,108
159.2846,205.45846,8
508.45674,518.62199,296.41901
225.50668,472.41234,8
441.83272,-509.2019,296.41901
114.59326,-56.02326,8
63.84557,-165.4115,8
232.64671,-301.91783,8
43.4613,-156.13248,8
57.31866,478.55559,296.41901
183.2472,225.26952,8
366.01265,-529.43035,296.41901
437.7866,-60.49475,8
549.57188,22.30606,8
193.36344,-172.78248,8
582.92069,-89.15415,8
78.84242,127.92431,8
132.34038,133.07604,8
155.489,463.95732,8
0.93616,228.95434,108
190.37038,71.93659,8
137.54164,-495.44826,296.41901
97.1539,371.03056,8
333.00913,-389.00344,8
325.77748,-63.16401,108
420.66143,274.93989,8
504.13345,241.37326,8
311.44568,514.58177,296.41901
232.64671,301.91783,8
120.42352,303.72991,8
62.13254,-391.91971,8
78.84242,-127.92431,8
343.71464,303.67421,8
504.78858,-136.5884,8
4.22138,-539.33347,471.66666
178.44571,14.10141,8
264.14989,-37.93949,8
125.87936,-289.41693,8
376.52356,279.41567,8
228.96111,-350.89622,8
535.0255,378.41882,8
160.52732,-162.28089,8
26.50942,298.33267,8
446.59175,-213.79875,8
381.64263,-189.00667,8
580.44729,470.99298,471.66666
527.86744,-415.07322,8
405.65084,-502.47276,296.41901
343.87522,-393.42876,8
86.08916,-122.63685,8
134.0349,-21.33219,8
357.89091,202.90839,8
19.7006,480.31261,8
425.02133,-394.29719,8
192.04047,475.27551,8
452.08879,33.69693,8
276.69762,483.1867,8
373.31773,453.85615,8
467.3973,452.56342,8
537.76128,-289.10382,8
183.33466,-536.01289,471.66666
582.77919,-255.2995,8
5.73937,35.28773,8
132.34038,-133.07604,8
88.02074,-478.48426,296.41901
366.01265,529.43035,296.41901
499.97085,59.12541,8
6.24739,-237.0643,108
485.35287,212.59801,8
450.48161,-138.73095,8
293.23813,-397.376,8
310.84158,228.54679,8
256.80774,-49.00645,8
24.95002,-301.48858,8
30.65762,359.30405,8
17.03333,116.06026,8
405.65084,502.47276,296.41901
152.28044,-508.36284,296.41901
565.76715,115.18625,8
174.49329,367.24167,8
406.17297,497.20122,296.41901
183.98545,-381.71136,8
60.18181,-280.40802,8
527.86744,415.07322,8
479.40233,110.46472,8
72.66323,-127.76163,8
453.05479,-364.94497,8
297.22284,104.82354,8
562.89292,-463.07222,8
131.03882,-375.85848,8
385.59791,242.86549,8
376.52356,-279.41567,8
504.78858,136.5884,8
455.8121,-474.93617,296.41901
499.97085,-59.12541,8
343.87522,393.42876,8
310.84158,-228.54679,8
492.33489,-137.1288,8
435.72494,261.49994,8
528.69841,145.8512,8
152.28044,508.36284,296.41901
404.26401,-139.11583,8
80.89798,-380.47702,8
79.05964,-527.49237,296.41901
479.40233,-110.46472,8
322.7055,152.9415,8
254.46419,132.35508,8
1.64295,372.71266,108
103.89342,-193.44174,8
3.36246,-53.00249,108
504.13345,-241.37326,8
116.93037,-509.28672,296.41901
89.45071,141.63161,8
571.50879,0.77501,8
225.50668,-472.41234,8
409.59987,-209.00193,8
185.80454,211.81615,8
138.26305,163.29063,8
453.50832,-242.50444,8
74.73336,-146.7603,8
51.64735,-272.4797,8
183.06422,-25.70337,8
539.81198,341.22361,8
146.72878,173.02212,8
333.00913,389.00344,8
334.65497,390.94846,8
249.64625,-396.40732,8
158.02037,494.81816,296.41901
256.74396,-402.46909,8
141.89436,28.702,8
87.74995,147.17673,8
197.86228,-490.29654,296.41901
60.20368,423.65476,8
49.13152,121.83727,8
283.28335,195.0538,8
13.32596,-122.80826,8
379.43613,435.07739,8
582.92069,89.15415,8
489.11921,79.52172,8
227.34647,-476.83661,296.41901
291.18067,-293.9086,8
364.52386,-15.92085,8
205.02374,-114.05923,8
282.51772,455.6948,8
151.33125,-535.61182,471.66666
39.9711,-474.13728,8
220.79948,283.43164,8
536.05646,424.40015,8
352.87036,-16.39653,8
167.34793,417.38538,8
421.51858,-415.7232,8
381.64263,189.00667,8
290.11761,135.38502,8
97.1539,-371.03056,8
21.99839,181.7228,8
329.13829,-255.85401,108
386.58928,-521.07691,296.41901
475.79846,344.84165,8
193.1434,456.12521,8
284.54155,223.29575,8
7.23467,-176.03411,8
1.64295,-372.71266,108
578.39077,-252.78984,108
532.81486,-299.21594,8
3.36246,53.00249,108
50.14792,-329.34147,8
155.06509,206.63585,8
165.34862,57.9063,8
343.67271,250.98815,8
526.53995,478.69513,8
4.7381,194.66161,8
152.41649,-330.29297,8
186.60303,-378.91883,8
554.23492,530.88747,296.41901
126.54366,511.49881,296.41901
284.25279,425.87449,8
452.08879,-33.69693,8
38.99643,-137.99843,8
240.05399,-27.51577,8
190.37038,-71.93659,8
151.46116,-168.65468,8
578.7958,196.54602,8
433.36621,-18.87859,8
331.23842,468.70365,8
216.31932,-529.54471,296.41901
49.11045,184.95085,8
430.35382,-22.64275,8
97.58578,102.35005,8
159.00659,358.66925,8
519.37068,438.00674,8
118.77604,-295.21676,8
109.59383,-319.64578,8
413.29239,-27.27483,8
193.36344,172.78248,8
183.86781,269.12155,108
91.38483,519.82199,296.41901
128.6923,322.83878,8
290.11761,-135.38502,8
368.99683,-334.4606,8
185.44614,-24.80252,8
412.18853,-225.52967,8
161.21842,382.8261,8
65.31836,315.49341,8
5.14622,111.82219,8
283.28335,-195.0538,8
370.1219,220.84211,8
469.35031,155.94691,8
485.69062,205.61478,8
120.29783,-444.84908,8
26.15631,55.88455,8
160.3487,360.02288,8
97.58578,-102.35005,8
431.38008,-263.57699,8
39.44042,-19.48688,8
5.73937,-35.28773,8
133.87295,-228.73795,8
171.70507,-214.13981,8
17.2308,-355.51554,8
574.40557,-86.02412,108
187.80941,-414.58426,8
65.31836,-315.49341,8
28.79837,478.11887,8
28.47215,-84.7075,8
296.67982,-42.70003,8
406.17297,-497.20122,296.41901
569.13607,458.16892,8
0.68004,-279.8544,108
207.2649,-465.46035,8
492.06662,329.80942,8
158.33317,421.69885,8
71.30504,-250.34429,8
267.88446,-500.97966,296.41901
301.77206,-207.06468,8
151.46116,168.65468,8
412.93679,-0.75677,8
326.1293,394.79855,108
26.50942,-298.33267,8
154.18357,-356.92194,8
453.84085,-486.54792,296.41901
430.35382,22.64275,8
528.69841,-145.8512,8
76.84254,267.01445,108
234.34971,100.02476,8
256.96292,-472.9951,8
26.15631,-55.88455,8
120.42352,-303.72991,8
521.56219,-246.75078,8
532.41381,-328.70295,8
174.49329,-367.24167,8
560.49967,203.94865,8
511.29347,-254.66781,8
120.29783,444.84908,8
78.98005,149.97287,8
512.66145,-123.45594,8
230.88066,-298.48489,8
528.0617,-5.68214,8
429.47805,498.15883,296.41901
439.60303,463.97141,8
569.82814,459.46103,8
428.32434,-120.30319,8
50.14792,329.34147,8
546.17125,135.17489,8
40.86756,-316.48426,8
176.25931,182.20967,8
146.68576,495.02886,296.41901
249.64625,396.40732,8
210.32389,159.78637,8
560.49967,-203.94865,8
285.29964,-390.23355,8
52.08517,160.36846,8
554.23492,-530.88747,296.41901
63.84557,165.4115,8
522.0128,247.51008,8
147.9482,445.88317,8
559.15055,-432.17149,8
159.62494,-474.10356,8
404.59939,134.93103,8
303.92169,214.20461,8
274.86567,-133.10979,8
234.96771,525.455,296.41901
87.5257,466.80435,8
101.47961,-517.88855,296.41901
225.08345,-493.64196,296.41901
131.27786,-503.34767,296.41901
399.59544,480.07247,296.41901
492.33489,137.1288,8
386.58928,521.07691,296.41901
